Date	input3...9.	UT...5.	ReturnAUM.RGE	AdjAUM.AdjGE	GE_USDCAD	SPX_USDCAD	EU_USDCAD	UK_GBPCAD	JP_JPYCAD
04/06/2017	22017837362	2750000	22029752664	21929203801	0.000541166	0.001854797	0.001193706	-0.002396529	-0.016623886
04/07/2017	21973614937	0	21925745538	22029752664	-0.002178494	-0.002428807	-0.004106753	-0.003704708	0.000524246
04/10/2017	21950156357	0	21921697514	21925745538	-0.001296521	-0.001479383	-0.003894599	0.000604343	0.002574013
04/11/2017	21936165362	0	21925350568	21921697514	-0.000493012	-0.002592272	0.001440102	0.005965436	0.009220097
04/12/2017	21748717902	0	21563675324	21925350568	-0.008508206	-0.009619487	-0.004820758	-0.006282494	-0.010520879
04/13/2017	21631307814	0	21511584629	21563675324	-0.005534718	-0.007039269	-0.003138142	-0.00255155	-0.001655572
04/17/2017	21709009530	0	21881409548	21511584629	0.007941404	0.008993502	0.004008514	0.006443842	-0.002242481
04/18/2017	21781932002	0	21842395017	21881409548	0.002775833	0.004572996	-0.000493085	-0.00400274	0.012781413
04/19/2017	21882467563	0	21974874915	21842395017	0.004222894	0.003659807	0.009267532	0.004404483	0.004477294
04/21/2017	22090051352	0	22067158445	22337279407	-0.001036345	-0.001631511	-0.005760616	-0.004193471	0.014488784
04/24/2017	22368942948	0	22687918285	22067158445	0.014259741	0.008970306	0.035780922	0.019180073	0.007834637
04/25/2017	22682357190	0	22998051981	22687918285	0.013918077	0.014406016	0.016383246	0.013652746	0.004154831
04/26/2017	22604851762	0	22536748972	22998051981	-0.003012751	-0.003755627	-0.003138183	0.000878963	0.014826151
04/27/2017	22745744999	0	22887088890	22536748972	0.006214081	0.007231854	0.0033324	0.002697756	-0.002850396
04/28/2017	22761548432	-4.00E+06	22770493658	22883088890	0.000392997	-8.49E-05	0.002132353	0.000413605	-0.003628493
05/01/2017	22781137923	0	22806579036	22770493658	0.001116762	0.000596653	0.00027982	-0.001809034	0.004809808
05/02/2017	22966174964	591000	23139432298	22807170036	0.007544022	0.006613827	0.011461173	0.011558916	0.007675428
05/03/2017	22938660281	0	22864383108	23139432298	-0.003238078	-0.003016928	-0.001579315	-0.005935886	-0.005196248
05/04/2017	23006220105	0	23073095887	22864383108	0.002906857	0.001530983	0.01114685	0.004170747	0.004040736
05/05/2017	23078842477	0	23159177240	23073095887	0.003480884	0.002039601	0.008307019	0.008226319	-0.009496777
05/08/2017	23150154299	0	23187334532	23159177240	0.001606047	0.001060007	-0.005283605	1.90E-05	0.021366997
05/09/2017	23075549404	0	23024586104	23187334532	-0.002208541	-0.001243915	0.000469672	0.006145641	-0.006856663
05/10/2017	23036738894	325000	22992134447	23024911104	-0.001936231	-0.002339569	-0.003852895	0.002289732	-0.004454679
05/11/2017	23031405743	0	23028418992	22992134447	-0.000129682	-0.000189957	-0.003319443	-0.003403482	0.009745408
05/12/2017	23112391545	0	23201873991	23028418992	0.003871622	0.001367613	0.011104219	0.010514517	0.001791005
05/15/2017	23145935740	0	23145068178	23201873991	-3.75E-05	-5.63E-05	0.001093102	-0.000167974	-0.010330284
05/16/2017	23053633739	0	23031939787	23145068178	-0.000941021	-0.004345716	0.005717381	0.00547271	0.006414301
05/17/2017	22800283543	0	22508921248	23031939787	-0.012778889	-0.018719466	-0.006970854	0.001136343	0.015152372
05/18/2017	22765625857	0	22737492148	22508921248	-0.001235798	0.00305947	-0.007381471	-0.007559427	-0.019001914
05/19/2017	22844031865	0	22935567092	22737492148	0.004006965	0.003396788	0.00875525	0.003246206	-0.0028836
05/23/2017	22896164346	0	22912306766	22935567092	0.000705027	0.001577936	0.000301024	-0.00443189	-0.00686881
05/24/2017	22834556718	0	22778315173	22912306766	-0.002463001	-0.000633417	-0.006279086	-0.00157955	0.001316657
05/25/2017	22913810367	0	22992826490	22778315173	0.003448406	0.004255065	0.001840306	-0.000114596	0.006432522
05/26/2017	22918244053	-75000	22914569915	22992751490	-0.000160315	0.001315364	-0.003637058	-0.007013493	-0.004726101
05/29/2017	22895555065	0	22865608670	22914569915	-0.001307957	-0.001077827	-0.001949952	0.002934852	0.000892236
05/30/2017	22926381775	0	22955944310	22865608670	0.001289455	0.000876496	0.000209476	0.000784358	0.004001546
05/31/2017	23025018242	0	23119205784	22955944310	0.004090661	0.002546054	0.007750701	0.005906762	0.002141497
06/01/2017	23121308658	0	23223428822	23119205784	0.004416712	0.005855396	0.000843858	0.000780039	0.006429666
06/02/2017	23283406201	-3775000	23484418233	23219653822	0.008633274	0.006015273	0.00902637	0.001403171	0.022311839
06/05/2017	23212875394	0	23132177361	23484418233	-0.003476434	-0.002954369	-0.005034864	-0.000778663	-0.001548149
06/06/2017	23146270684	0	23036038648	23132177361	-0.00476241	-0.004626901	-0.007453694	-0.004978725	-0.001416585
06/07/2017	23207124568	650000	23276753395	23036688648	0.003000321	0.003948327	0.001543193	0.001312856	0.000675533
06/08/2017	23192132336	0	23168150736	23276753395	-0.00103404	0.000600604	-0.003332878	-0.004399035	-0.005819937
06/09/2017	23056072226	0	22915774589	23168150736	-0.006085062	-0.006194702	-0.005552472	-0.011057748	-0.000271071
06/12/2017	23035529202	0	23005955387	22915774589	-0.001283835	-0.000197674	-0.007316475	-0.006602559	-0.012555858
06/13/2017	22772740867	0	22524198239	23005955387	-0.010914041	-0.011743414	-0.010351536	-0.013273913	-0.007710617
06/14/2017	22661313951	-1.00E+08	22657779328	22424198239	-0.000155976	-0.002128973	0.002271664	-0.000186343	0.004159827
